title,date time,location,social media handles,description
TECH CONFERENCE,"Starts on Saturday, June 10 · 10am WAT"," Lasu Road Epe, LA 106101 Nigeria",,
Informative Seminar on Sports Management and Sports Science-Bengaluru-IISM,"Saturday, May 13 · 11am - 1pm IST"," 93 Field Marshal Cariappa Road Bengaluru, KA 560025",,"<p>Are you all set to score big in the world of sports and ready to take your sports career to new heights? Join our upcoming ""Informative Seminar on Sports Management &amp; Sports Science!""
</p>,<p>
</p>,<p>
</p>,<p>As you know, the sports industry is growing at a phenomenal rate, and it is imperative that you be equipped with the necessary skills and expertise to make a difference. Mr. Karan Mange, our Head Counsellor and Faculty, will teach you the newest trends to help you excel in sports management and sports science at our seminar. 
</p>,<p>
</p>,<p>
</p>,<p>Whether you're an athlete or a sports enthusiast, this seminar is perfect for anyone looking to score big in the world of sports. So don't wait – Register Now and Secure Your SPOT!</p>,<p>Registration Link: https://docs.google.com/forms/d/e/1FAIpQLScYlRq6xY0s6TyrYghfy6SlCpCufDC8DUbekNY9TAWSt-V5PA/viewform </p>,<p>
</p>,<p>
</p>,<p>
</p>,<p>Date: 13th May 2023
</p>,<p>
</p>,<p>Time: 11.00 AM (IST)
</p>,<p>
</p>,<p>Location: Sargod Imperial, 93, Field Marshal Cariappa Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025
</p>,<p>
</p>,<p></p>"
Only Founder's networking event,April 30 · 5:30pm - May 30 · 8:30pm IST," 1st cross road Bengaluru, KA 560034",,"<p>Startup Galaxy is inviting all the founders who are combating the good fight of building an innovative startup with all the challenges. The goal of this event is to provide a place where founders can come together, meet one another to confront the challenges, and loneliness, of being a founder. The lonely island of leadership is real but on our shores at least there are drinks.</p>,<p> After hundreds of thankless hours of hiring, managing, setting vision, rallying the troops, &amp; raising capital we founders should have a good time. </p>,<p><strong>R﻿egister NOW!</strong></p>,<p><strong>I﻿f you will be selected</strong>, you will receive confirmation mail along with the -</p>,<p><strong>E﻿xact location soon.</strong></p>"
Event 2023,February 12 · 7pm - December 31 · 10pm IST,,,
Free Career Empowerment & Meditation Class - Bengaluru,"Saturday, May 13 · 6 - 7am IST"," See Confirmation Email for Zoom Link Bengaluru, KA 3000","https://www.facebook.com/129689069273052,https://www.facebook.com/becomebutterflyvn","<p>“<em>If only people would give meditation a real try, they'd experience directly for themselves how it's an absolute game-changer in life and in career. After all, many of the most successful people on the planet, from athletes to CEOs, meditate regularly. Then, there are all of the MRI studies that show how the brain becomes neuro-plastic, which means it physically changes toward balance and happiness with short amounts of daily meditation. What the ancients have known for millennia is now clearly proven in our modern science. And happy people are more engaged in their work.</em>""</p>,<p>~ Chitananda</p>,<p></p>,<p>- Learn how to enjoy a long, successful career - no burn-out</p>,<p>- Overcome negative thoughts that keep you from realizing your full potential in career</p>,<p>- Take your current career to a whole new level, or reinvent your career completely</p>,<p>- Learn to balance power with humility... as you grow, you deepen into your own heart</p>,<p>- Discover a very unique style of meditation that gives power to your career for years to come</p>,<p>-----------------------</p>,<p></p>,<p>After signing up, you will receive a confirmation email from Eventbrite. Please scroll down to the <strong>Additional Information</strong> section to see the Zoom link.</p>,<p>-----------------------</p>,<p>Note: W﻿e are an international community meeting weekly, made possible by Zoom. Many students have been attending for weeks, months, or even years. Many/most of us share our cameras, which means you're likely to feel a strong sense of community and camaraderie. In fact, we likely have had many people from your city in the class. That said, others from your city may or may not attend this week's classes.</p>,<p></p>,<p>- Be 5 mins early or on time.</p>,<p>- more than 5 mins late is disruptive to the class.</p>,<p>- Tidy your space, no distractions, no eating, etc.</p>,<p>- No one casually listening in.</p>,<p>- Bring the same focus as you would bring to class in person.</p>,<p>- Camera on please. Seeing each other fosters trust and a sense of community.</p>,<p></p>,<p>- You want to be successful in your career, studies and/or athletics.</p>,<p>- You need a way out of career burn-out.</p>,<p>- You simply want more balance in your daily life and relationships.</p>,<p>- You want to feel happy a lot more often!</p>,<p>- You want to relish in life in all of its FULLNESS, unobscured by heavy thinking mind.</p>,<p>- You truly want to give to others... Being bright and balanced, especially in the most difficult situations, puts you in a unique position to be of service to others.</p>,<p></p>,<p>This class is designed for students and young professionals. All are welcome. Beginners and experienced meditation practitioners alike. Religious and non-religious. People of all walks of life who want to learn to hone balance and happiness in their life, with a powerful career.</p>,<p></p>,<p>We begin with a short meditation. Then, a talk on career empowerment, followed by a slightly longer meditation. You may ask questions after class if you like.</p>,<p></p>,<p>Chitananda has worked for many years as a Software Developer, Project Manager, and CEO &amp; Founder for both Silicon Valley startups as well as some of the largest tech companies in Silicon Valley, California.</p>,<p>Chitananda is also a Career &amp; Spirituality Coach, with a proven record of lifting his people in position, salary and state of mind.</p>,<p>Chitananda has also studied Buddhism, in a heart-centered tradition, for over 19 years. He has applied these ancient teachings to many arenas in life, including athletics, academics, family life, and career. As Chitananda teaches it, Buddhism is a psychology that leads the practitioner to peace, balance, happiness, and success in all of life’s pursuits.</p>,<p><em>""The ancient Buddhist and Yoga texts have been applied to farm life, monastery life, and family life for millennia. The same teachings are still perfectly relevant to our everyday lives in this tech-driven world with all of its beautiful complexity. In this world, the home office becomes our monastery, our work becomes our offering to humanity, our family life becomes a playground to practice compassion and balance. You see? We are in the perfect time and place to practice the ancient teachings and rise to new heights, both within our minds and in career!""</em></p>,<p>~ Chitananda</p>,<p></p>,<p>This class is free for all. Chitananda's guiding purpose in life is to bring happiness and balance to as many people in this life as he can. He never wants money to get in the way of a student learning the inner arts.</p>,<p>That said, if you are in a position to support the upliftment of students and professionals via this class, your donation is most welcomed. All funds go to:</p>,<p>- Zoom membership ($20/mo)</p>,<p>- Meetup.com membership ($22/mo)</p>,<p>- Room rental for his in-person UC Berkeley class ($200/mo)</p>,<p>- Printing full-color posters for town and campus ($100/mo)</p>,<p>- Chitananda drives 55 miles to his class at UC Berkeley: Gas ($110/mo)</p>"
Global Ed Interaction In Bangalore 2023,"Saturday, May 13 · 1 - 5pm IST"," 41/3 Mahatma Gandhi Road Bengaluru, KA 560001",,"<p>Ready to become a Global Citizen? Looking to gain Global Degree?</p>,<p>But too many choices! Which Country? Which Course? When to apply? How? Well. The Global Ed Interaction has the answers and much more.</p>,<p>Experience a Borderless World through opportunities at the Global Ed Interaction.</p>,<p>• Interact with Universities from around the world</p>,<p>• Apply for 2023/2024 admissions</p>,<p>• Broaden your view on the Higher Ed industry around the globe</p>,<p>• Spot offers, Scholarships and Application Fee and English Language Waivers</p>,<p>• Onboard with TC Global to lead you through your journey</p>,<p></p>,<p>Come join the Global Ed movement in your city this May-June 2023.</p>,<p></p>,<p><strong>Event Details</strong></p>,<p>Date:  13th May, Saturday 2023</p>,<p>Time: 1:00PM TO 5:00PM</p>,<p>Venue: Taj MG Road, Bangalore</p>,<p>Address: 41/3, Mahatma Gandhi Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001</p>,<p></p>,<p><strong>This Event Will Change Your Global Education Journey. Sign Up Now.</strong></p>,<p><a href=""https://tinyurl.com/GEI23"" target=""_blank"" rel=""nofollow noopener noreferrer""><strong>https://tinyurl.com/GEI23</strong></a></p>"
StartupParty- The coolest startup event in Bengaluru,"Sunday, May 14 · 5 - 8pm IST"," MG road Bengaluru, KA 560001",https://startupparty.in/,"<p>🎉 Calling all founders, startup enthusiasts, and budding entrepreneurs! Get ready to experience the wildest startup event in Bengaluru! 🚀 on <strong>14th May 2023</strong> (Sunday)</p>,<p></p>,<p>Introducing <strong>StartupParty </strong>– the revolution that will change the game of the Indian startup ecosystem. 💡</p>,<p></p>,<p><em>It’s an exclusive social experience where only a few Founders, Budding Entrepreneurs, and Startup Enthusiasts will be selected to get invited to StartupParty.</em></p>,<p></p>,<p>StartupParty disrupts the notion of conventional Startup Events and replaces speeches, talks, workshops &amp; networking mixers with Games, <strong>StartupParty Games </strong>- that we designed after 18 months of research with successful founders, investors &amp; Clinical Psychologists.</p>,<p></p>,<p>🤩 Get ready to play action-packed games designed to help you make friends from Startup World, learn about the secrets of building a successful startup, and educate you about Mental Health, all of it in a fun entertaining way.</p>,<p></p>,<p><strong>What exactly will you experience at StartupParty?</strong> Get ready for the social adventure that gives you:</p>,<p></p>,<p>😎  Coolest way to do networking</p>,<p>😄  Knowledge &amp; wisdom of building successful Startups</p>,<p>😮  Challenge your potential &amp; evolve</p>,<p>🥳  Artists performances</p>,<p>😇  Gems of learnings about Mental health</p>,<p>🤯  Most fun way to upskill</p>,<p></p>,<p>And there’s so much more, well you will explore all of that in StartupParty itself on<strong> 14th May 2023 from 5:00 PM to 8:00 PM</strong></p>,<p></p>,<p>🆓 And <strong>StartupParty is totally FREE!</strong>🤑 That's right, every StartupParty is gonna be free forever, with no strings attached. We want to revolutionize the startup ecosystem of India, and we're doing it by making StartupParty accessible to everyone in the best form possible.</p>,<p></p>,<p><strong>📝 So don't waste your time</strong></p>,<p>Fill out the form and tell us how crazy and passionate you are about startups. If you're selected, get ready for an experience of a lifetime. </p>,<p><em>We'll inform you about all the details on WhatsApp, and our team will even give you a confirmation call. 📱📞 (Only a few are going to get selected so don’t get disheartened if you don’t, try again for the next StartupParty)</em></p>,<p></p>,<p><strong>What’s a StartupParty BTW🤨</strong></p>,<p>StartupParty is the most ambitious and creative community-building Startup movement ever happened in India. It is being created in the top 20 cities of India and will be totally driven by offline experiences backed up by specially created online programs and everything from offline to online being end-to-end free. StartupParty is for the love of Indian Startups! </p>,<p>It is something that has never been created before, it took around 18 months of research involving successful founders, investors &amp; clinical psychologists to create StartupParty, and everyone who came to know about it firmly believes it‘s going to radically change how people network, and how young minds learn entrepreneurship in India while elevating the topic of Mental Health in the Indian Startup Ecosystem.</p>,<p><strong>Visit StartupParty's Official website to know more -</strong> <a href=""https://cutt.ly/L5rcuRP"" target=""_blank"" rel=""nofollow noopener noreferrer"">https://cutt.ly/L5rcuRP</a> ⏪</p>"
Event 2020 New,April 4 · 7pm - December 31 · 10pm IST,,,
Music and Tech Conference,May 16 · 9:30am - May 17 · 3:30pm EDT," 6842 Main Street Miami Lakes, FL 33014 United States",,"<p>The conference will provide industry insight and unequivocally helpful advice on navigating the innovative field of music in a changing world by technology. It will explore various topics, including presentations, workshops, panels, keynotes, and training.</p>,<p>Music and Tech Conference aims to connect the various stakeholders of the technological ecosystem and the music industry to create economic opportunity.</p>,<p>P﻿lease visit our website at www.themusictechconference.com for more details. </p>"
Develop a Successful Artificial Intelligence Startup Today! Entrepreneur,"Sunday, May 14 · 1 - 5pm IST"," Virtual Workshop Bangalore, KA","https://www.facebook.com/atechup.inc,https://www.twitter.com/atechup_com,https://www.atechup.com","<p></p>,<p>Learn to Develop a Successful  Artificial Intelligence Tech Startup Business Today!</p>,<p>Always wanted to start an AI Tech Startup? Now we have a complete blueprint for you start your own Artificial Intelligence Tech Startup Business. During our tech startup program you will learn and navigate through tools, software, hardware, platforms, resources, projects, processes, methods and strategies to penetrate your own Artificial Intelligence Tech Startup Business into different markets and industries. For more information visit our website at <a href=""https://www.atechup.com/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Atechup.com</a> </p>,<p>For more detailed information go to:  <a href=""https://www.atechup.com/courses/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Atechup  Tech Entrepreneurship </a>Page</p>,<p></p>,<p>During this Tech Startup Workshop we will cover:</p>,<p></p>,<p>Session 1: Startup Basics</p>,<p>During this session we will explore the very foundation and the basic systems and platforms for you to integrate into your own tech startup process.</p>,<p></p>,<p></p>,<p>Session 2: Startup Ideas</p>,<p>During this session we will explore tech startup ideas for you to implement and integrate into your own tech startup or use them as an inspirational source for developing your own products, projects, prototypes or services in your tech startup</p>,<p></p>,<p></p>,<p></p>,<p></p>,<p>Session 3: R&amp;D</p>,<p>During this session we will explore the research process, how you can research a specific niche industry, the market and tech trends.</p>,<p></p>,<p></p>,<p>Session 4: Creativity</p>,<p>During this session we will explore the creativity process, how to increase your own creativity intelligence and implement quality tech ideas into your own tech startup process.</p>,<p></p>,<p></p>,<p>Session 5: Capital/Funding</p>,<p>During this session we will explore the capital and funding process of your tech startup. How to raise capital and make systematic attempts to penetrate into the market.</p>,<p></p>,<p></p>,<p></p>,<p>Session 6: Clients/Customers</p>,<p>During this session we will explore the client acquisition process. Find your first clients and customers for your tech startup and implement the right tools, methods and strategies for creating an successful sale system for your specific niche industry/technology.</p>,<p></p>,<p></p>,<p></p>,<p>Session 7: Business Platform</p>,<p>During this session we will explore the business organizing process. How to implement an organized and professional platform for your tech startup for creating efficient workflow.</p>,<p></p>,<p></p>,<p></p>,<p></p>,<p>Session 8: Business Formation</p>,<p>During this session we will explore the business formation process. Which platforms, models and tools to integrate into your tech startup formation for creating an successful launch process.</p>,<p></p>,<p></p>,<p></p>,<p>Session 9: Startup Coding</p>,<p>During this session we will explore the coding process of your tech startup.</p>,<p>Coding/Programming</p>,<p></p>,<p></p>,<p></p>,<p>Session 10: Startup Hardware/Prototyping</p>,<p>During this session we will explore the hardware and prototyping process of your tech startup. Using different tools and platform to innovate and integrate your own tech startup projects.</p>,<p></p>,<p></p>,<p></p>,<p></p>,<p>Session 11 : Startup IT Operations</p>,<p>During this session we will explore the IT infrastructure process of your tech startup. Which platforms to use for setup an organized database system, cloud system and other technical solutions for your tech startup to work efficiently</p>,<p></p>,<p></p>,<p>Session 12 : Startup Consulting</p>,<p>During this session we will explore the consulting process for your tech startup. An strategic approach, where you can receive more experience before you launch your own specific products/projects.</p>,<p></p>,<p></p>,<p></p>,<p>Session 13 : Startup Management</p>,<p>During this session we will explore management process of your tech startup. How to manage your internal and external environments for increasing the probability of your tech startup to succeed.</p>,<p></p>,<p></p>,<p><strong>Session 14, 15, 16, 17, 18, 19, 20: Tech Entrepreneurship</strong></p>,<p>During this sessions we will explore tech entrepreneurship topics, concepts, strategies etc.</p>,<p></p>,<p></p>,<p><strong>For more detailed information go to our website </strong><a href=""https://www.atechup.com/"" target=""_blank"" rel=""nofollow noopener noreferrer""><strong>Atechup.com</strong></a></p>,<p></p>,<p></p>,<p><strong>Basic Edition: </strong></p>,<p></p>,<p></p>,<p><strong>Premium Edition: </strong></p>,<p></p>,<p><strong>Gold Edition: </strong></p>,<p><strong>[This is an Online Web Workshop][Atechup Terms &amp; Conditions Apply]</strong></p>,<p></p>,<p>Develop a Successful  Smart Tech Startup Business Hackathon | Startup Hackathon | Entrepreneur Hackathon | Entrepreneurship Workshop | Entrepreneur Class  | Tech Workshop  | Tech Hackathon  | Tech Bootcamp  | Tech Class  | Tech Webinar  | Entrepreneur Bootcamp  | Entrepreneur Webinar  | Startup Webinar  | Startup Class  | Entrepreneur Conference  | Startup Conference  | Tech Startup Conference  | Business Conference  | Business Networking  | Startup Networking  | Startup Classes  | Entrepreneur Classes  | Business Training  | Entrepreneurship Training  | Startup Training  | Entrepreneur Training  | Tech Workshop  | Startup Workshop  | Entrepreneur Workshop </p>,<p></p>,<p></p>,<p></p>"
